Rank, Country, Gold, Silver, Bronze, Total
1,United States,46,37,38,121
2,China,26,18,26,70
3,Great Britain,27,23,17,67
4,Russia,19,18,19,56
5,Germany,17,10,15,42
6,France,10,18,14,42
7,Japan,12,8,21,41
8,Australia,8,11,10,29
9,Italy,8,12,8,28
10,Canada,4,3,15,22
11,South Korea,9,3,9,21
12,Netherlands,8,7,4,19
13,Brazil,7,6,6,19
14,New Zealand,4,9,5,18
15,Azerbaijan,1,7,10,18
16,Spain,7,4,6,17
17,Kazakhstan,3,5,9,17
18,Hungary,8,3,4,15
19,Denmark,2,6,7,15
20,Kenya,6,6,1,13
21,Uzbekistan,4,2,7,13
22,Jamaica,6,3,2,11
23,Cuba,5,2,4,11
24,Sweden,2,6,3,11
25,Ukraine,2,5,4,11
26,Poland,2,3,6,11
27,Croatia,5,3,2,10
28,South Africa,2,6,2,10
29,Czech Republic,1,2,7,10
30,Belarus,1,4,4,9
31,Colombia,3,2,3,8
32,Iran,3,1,4,8
33,Serbia,2,4,2,8
34,Turkey,1,3,4,8
35,Ethiopia,1,2,5,8
36,Switzerland,3,2,2,7
37,North Korea,2,3,2,7
38,Georgia,2,1,4,7
39,Greece,3,1,2,6
40,Belgium,2,2,2,6
41,Thailand,2,2,2,6
42,Romania,1,1,3,5
43,Malaysia,0,4,1,5
44,Mexico,0,3,2,5
45,Argentina,3,1,0,4
46,Slovakia,2,2,0,4
47,Armenia,1,3,0,4
48,Slovenia,1,2,1,4
49,Lithuania,0,1,3,4
50,Norway,0,0,4,4
51,Indonesia,1,2,0,3
52,Chinese Taipei,1,0,2,3
53,Bulgaria,0,1,2,3
54,Venezuela,0,1,2,3
55,Egypt,0,0,3,3
56,Tunisia,0,0,3,3
57,Bahrain,1,1,0,2
58,Vietnam,1,1,0,2
59,Bahamas,1,0,1,2
60,C̫te d'Ivoire,1,0,1,2
61,Independent Olympic Athletes,1,0,1,2
62,Algeria,0,2,0,2
63,Ireland,0,2,0,2
64,India,0,1,1,2
65,Mongolia,0,1,1,2
66,Israel,0,0,2,2
67,Fiji,1,0,0,1
68,Jordan,1,0,0,1
69,Kosovo,1,0,0,1
70,Puerto Rico,1,0,0,1
71,Singapore,1,0,0,1
72,Tajikistan,1,0,0,1
73,Burundi,0,1,0,1
74,Grenada,0,1,0,1
75,Niger,0,1,0,1
76,Philippines,0,1,0,1
77,Qatar,0,1,0,1
78,Austria,0,0,1,1
79,Dominican Republic,0,0,1,1
80,Estonia,0,0,1,1
81,Finland,0,0,1,1
82,Kyrgyzstan,0,0,1,1
83,Morocco,0,0,1,1
84,Moldova,0,0,1,1
85,Nigeria,0,0,1,1
86,Portugal,0,0,1,1
87,Trinidad & Tobago,0,0,1,1
88,UAE,0,0,1,1
